ID;ISO_CODE
1;AL
2;DZ
3;AR
4;AU
5;AT
6;BH
7;BY
8;BE
9;BO
10;BA
11;BR
12;BG
13;CA
14;CL
15;CN
16;CO
17;CR
18;HR
19;CU
20;CY
21;CZ
22;DK
23;DO
24;EC
25;EG
26;SV
27;EE
28;FI
29;FR
30;DE
31;GR
32;GT
33;HN
34;HK
35;HU
36;IS
37;IN
38;ID
39;IQ
40;IE
41;IL
42;IT
43;JP
44;JO
45;KR
46;KW
47;LV
48;LB
49;LY
50;LT
51;LU
52;MK
53;MY
54;MT
55;MX
56;ME
57;MA
58;NL
59;NZ
60;NI
61;NO
62;OM
63;PA
64;PY
65;PE
66;PH
67;PL
68;PT
69;PR
70;QA
71;RO
72;RU
73;SA
74;RS
75;SG
76;SK
77;SI
78;ZA
79;ES
80;SD
81;SE
82;CH
83;SY
84;TW
85;TH
86;TN
87;TR
88;UA
89;AE
90;GB
91;US
92;UY
93;VE
94;VN
95;YE
