ID,CURRENCY_CODE,CURRENCY_CURRENCY_CODE,CURRENCY_NAME,created_by,last_modified_by
1,FJD,FJD,FJD,system,system
2,MXN,MXN,MXN,system,system
3,STD,STD,STD,system,system
4,LVL,LVL,LVL,system,system
5,SCR,SCR,SCR,system,system
6,CDF,CDF,CDF,system,system
7,BBD,BBD,BBD,system,system
8,GTQ,GTQ,GTQ,system,system
9,CLP,CLP,CLP,system,system
10,HNL,HNL,HNL,system,system
11,UGX,UGX,UGX,system,system
12,ZAR,ZAR,ZAR,system,system
13,MXV,MXV,MXV,system,system
14,TND,TND,TND,system,system
15,BSD,BSD,BSD,system,system
16,SLL,SLL,SLL,system,system
17,SDG,SDG,SDG,system,system
18,IQD,IQD,IQD,system,system
19,CUP,CUP,CUP,system,system
20,GMD,GMD,GMD,system,system
21,TWD,TWD,TWD,system,system
22,RSD,RSD,RSD,system,system
23,DOP,DOP,DOP,system,system
24,KMF,KMF,KMF,system,system
25,MYR,MYR,MYR,system,system
26,FKP,FKP,FKP,system,system
27,XOF,XOF,XOF,system,system
28,GEL,GEL,GEL,system,system
29,UYU,UYU,UYU,system,system
30,MAD,MAD,MAD,system,system
31,CVE,CVE,CVE,system,system
32,AZN,AZN,AZN,system,system
33,OMR,OMR,OMR,system,system
34,PGK,PGK,PGK,system,system
35,KES,KES,KES,system,system
36,SEK,SEK,SEK,system,system
37,BTN,BTN,BTN,system,system
38,UAH,UAH,UAH,system,system
39,GNF,GNF,GNF,system,system
40,ERN,ERN,ERN,system,system
41,MZN,MZN,MZN,system,system
42,SVC,SVC,SVC,system,system
43,ARS,ARS,ARS,system,system
44,QAR,QAR,QAR,system,system
45,IRR,IRR,IRR,system,system
46,MRO,MRO,MRO,system,system
47,CNY,CNY,CNY,system,system
48,XPF,XPF,XPF,system,system
49,THB,THB,THB,system,system
50,UZS,UZS,UZS,system,system
51,BDT,BDT,BDT,system,system
52,LYD,LYD,LYD,system,system
53,BMD,BMD,BMD,system,system
