MODULE_CONF_ID;"DATE_CREATED";"DATE_MODIFIED";"UPDT_ID";"CODE";"DETAILS";"CONFIGURATION";CUSTOM_IND;"IMAGE";"MODULE";"REGIONS";"TYPE"
1;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"usps";;"[{\"scheme\":\"http\",\"host\":\"testing.shippingapis.com\",\"port\":\"80\",\"uri\":\"/ShippingAPI.dll\",\"env\":\"TEST\",\"config1\":null,\"config2\":null},{\"scheme\":\"http\",\"host\":\"production.shippingapis.com\",\"port\":\"80\",\"uri\":\"/ShippingAPI.dll\",\"env\":\"PROD\",\"config1\":null,\"config2\":null}]";0;"usps.jpg";"SHIPPING";"[\"US\"]";
2;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"canadapost";;"[{\"scheme\":\"https\",\"host\":\"ct.soa-gw.canadapost.ca\",\"port\":\"443\",\"uri\":\"/rs/ship/price\",\"env\":\"TEST\",\"config1\":null,\"config2\":null},{\"scheme\":\"https\",\"host\":\"soa-gw.canadapost.ca\",\"port\":\"443\",\"uri\":\"/rs/ship/price\",\"env\":\"PROD\",\"config1\":null,\"config2\":null}]";0;"canadapost.jpg";"SHIPPING";"[\"CA\"]";
3;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"ups";"{\"01\":\"UPS Next Day Air\",\"02\":\"UPS Second Day Air\",\"03\":\"UPS Ground\",\"07\":\"UPS Worldwide Express\",\"08\":\"UPS Worldwide Expedited\",\"11\":\"UPS Standard\",\"12\":\"UPS Three-Day Select\",\"13\":\"UPS Next Day Air Saver\",\"14\":\"UPS Next Day Air Early A.M.\",\"54\":\"UPS Worldwide Express Plus\",\"59\":\"UPS Second Day Air A.M.\",\"69\":\"UPS Saver\"}";"[{\"scheme\":\"https\",\"host\":\"wwwcie.ups.com\",\"port\":\"443\",\"uri\":\"/ups.app/xml/Rate\",\"env\":\"TEST\",\"config1\":null,\"config2\":null},{\"scheme\":\"https\",\"host\":\"onlinetools.ups.com\",\"port\":\"443\",\"uri\":\"/xml/Rate\",\"env\":\"PROD\",\"config1\":null,\"config2\":null}]";0;"ups.jpg";"SHIPPING";"[\"US\",\"CA\",\"FR\",\"GB\"]";
4;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"weightBased";;;1;;"SHIPPING";"[\"*\"]";
5;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"customQuotesRules";;;0;;"SHIPPING";"[\"*\"]";
6;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"priceByDistance";;;0;;"SHIPPING";"[\"*\"]";
7;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"storePickUp";;;0;;"SHIPPING";"[\"*\"]";
8;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"moneyorder";;;0;"moneyorder.gif";"PAYMENT";"[\"*\"]";"moneyorder"
9;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"paypal-express-checkout";;"[{\"scheme\":\"\",\"host\":\"\",\"port\":\"\",\"uri\":\"\",\"env\":\"TEST\",\"config1\":\"https://www.sandbox.paypal.com/cgi-bin/webscr?cmd=_express-checkout&token=\",\"config2\":null},{\"scheme\":\"\",\"host\":\"\",\"port\":\"\",\"uri\":\"\",\"env\":\"PROD\",\"config1\":\"https://www.paypal.com/cgi-bin/webscr?cmd=_express-checkout&token=\",\"config2\":null}]";0;"icon-paypal.png";"PAYMENT";"[\"*\"]";"paypal"
10;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"beanstream";;"[{\"scheme\":\"https\",\"host\":\"www.beanstream.com\",\"port\":\"443\",\"uri\":\"/scripts/process_transaction.asp\",\"env\":\"TEST\",\"config1\":null,\"config2\":null},{\"scheme\":\"https\",\"host\":\"www.beanstream.com\",\"port\":\"443\",\"uri\":\"/scripts/process_transaction.asp\",\"env\":\"PROD\",\"config1\":null,\"config2\":null}]";0;"beanstream.gif";"PAYMENT";"[\"US\",\"CA\",\"GB\"]";"creditcard"
11;"2017-04-16 22:59:10";"2017-04-16 22:59:10";;"stripe";;"[{\"scheme\":\"https\",\"host\":\"www.stripe.com\",\"port\":\"443\",\"uri\":\"/\",\"env\":\"TEST\",\"config1\":null,\"config2\":null},{\"scheme\":\"https\",\"host\":\"www.stripe.com\",\"port\":\"443\",\"uri\":\"/\",\"env\":\"PROD\",\"config1\":null,\"config2\":null}]";0;"stripe.png";"PAYMENT";"[\"US\",\"CA\",\"GB\",\"AU\",\"FI\",\"DK\",\"IE\",\"NO\",\"SE\"]";"creditcard"
