zone_code;country_id;created_by;last_modified_by
Guipuzcoa;79;admin;admin
HI;91;admin;admin
PR;91;admin;admin
Zamora;79;admin;admin
Vizcaya;79;admin;admin
Albacete;79;admin;admin
Lleida;79;admin;admin
QC;13;admin;admin
NRW;30;admin;admin
IA;91;admin;admin
ID;91;admin;admin
YT;13;admin;admin
Leon;79;admin;admin
ACorua;79;admin;admin
Castellon;79;admin;admin
LasPalmas;79;admin;admin
Pontevedra;79;admin;admin
AA;91;admin;admin
Teruel;79;admin;admin
AB;13;admin;admin
AC;91;admin;admin
IL;91;admin;admin
AE;91;admin;admin
AF;91;admin;admin
IN;91;admin;admin
AG;82;admin;admin
A Corua;79;admin;admin
AI;82;admin;admin
AK;91;admin;admin
Caceres;79;admin;admin
Segovia;79;admin;admin
AL;91;admin;admin
AM;91;admin;admin
ZG;82;admin;admin
Malaga;79;admin;admin
ZH;82;admin;admin
LaRioja;79;admin;admin
AP;91;admin;admin
Melilla;79;admin;admin
AR;91;admin;admin
AS;91;admin;admin
NSW;4;admin;admin
Madrid;79;admin;admin
RI;91;admin;admin
AZ;91;admin;admin
Ceuta;79;admin;admin
BC;13;admin;admin
Huelva;79;admin;admin
BE;82;admin;admin
Huesca;79;admin;admin
ARCH;82;admin;admin
BL;82;admin;admin
JU;82;admin;admin
Asturias;79;admin;admin
SA;4;admin;admin
SB;5;admin;admin
TIAT;5;admin;admin
SC;91;admin;admin
THE;30;admin;admin
SD;91;admin;admin
BS;82;admin;admin
Cordoba;79;admin;admin
Tarragona;79;admin;admin
Valladolid;79;admin;admin
SG;82;admin;admin
SH;82;admin;admin
WAAU;4;admin;admin
SK;13;admin;admin
NDS;30;admin;admin
SO;82;admin;admin
CA;91;admin;admin
NTAU;4;admin;admin
ST;5;admin;admin
KN;5;admin;admin
Jaen;79;admin;admin
CiudadReal;79;admin;admin
SZ;82;admin;admin
Alava;79;admin;admin
KS;91;admin;admin
CO;91;admin;admin
KY;91;admin;admin
BER;30;admin;admin
CT;91;admin;admin
ACT;4;admin;admin
TG;82;admin;admin
LA;91;admin;admin
HAM;30;admin;admin
TI;82;admin;admin
Lugo;79;admin;admin
NECH;82;admin;admin
TN;91;admin;admin
Toledo;79;admin;admin
DC;91;admin;admin
Palencia;79;admin;admin
DE;91;admin;admin
TX;91;admin;admin
TAS;4;admin;admin
QLD;4;admin;admin
LU;82;admin;admin
Burgos;79;admin;admin
Cadiz;79;admin;admin
SantaCruzdeTenerife;79;admin;admin
MA;91;admin;admin
MB;13;admin;admin
MD;91;admin;admin
Girona;79;admin;admin
ME;91;admin;admin
Alicante;79;admin;admin
Guadalajara;79;admin;admin
Cantabria;79;admin;admin
MH;91;admin;admin
MI;91;admin;admin
UR;82;admin;admin
UT;91;admin;admin
MN;91;admin;admin
MO;91;admin;admin
MP;91;admin;admin
Barcelona;79;admin;admin
MS;91;admin;admin
MT;91;admin;admin
Badajoz;79;admin;admin
MEC;30;admin;admin
VA;91;admin;admin
VB;5;admin;admin
Cuenca;79;admin;admin
WIAT;5;admin;admin
VD;82;admin;admin
Sevilla;79;admin;admin
VI;91;admin;admin
Zaragoza;79;admin;admin
NB;13;admin;admin
SAC;30;admin;admin
NC;91;admin;admin
ND;91;admin;admin
NE;91;admin;admin
NF;13;admin;admin
NH;91;admin;admin
NJ;91;admin;admin
VS;82;admin;admin
VT;91;admin;admin
NM;91;admin;admin
NO;5;admin;admin
SAS;30;admin;admin
NS;13;admin;admin
SAR;30;admin;admin
FL;91;admin;admin
NT;13;admin;admin
FM;91;admin;admin
NU;13;admin;admin
NV;91;admin;admin
NW;82;admin;admin
WA;91;admin;admin
NY;91;admin;admin
Granada;79;admin;admin
Soria;79;admin;admin
FR;82;admin;admin
RHE;30;admin;admin
Ourense;79;admin;admin
WI;91;admin;admin
OH;91;admin;admin
GA;91;admin;admin
Murcia;79;admin;admin
OK;91;admin;admin
GE;82;admin;admin
WV;91;admin;admin
ON;13;admin;admin
OO;5;admin;admin
WY;91;admin;admin
BLAT;5;admin;admin
Avila;79;admin;admin
OR;91;admin;admin
Salamanca;79;admin;admin
GL;82;admin;admin
Baleares;79;admin;admin
OW;82;admin;admin
GR;82;admin;admin
GU;91;admin;admin
PA;91;admin;admin
VIC;4;admin;admin
BRE;30;admin;admin
PE;13;admin;admin
BRG;30;admin;admin
HES;30;admin;admin
Almeria;79;admin;admin
BAW;30;admin;admin
BAY;30;admin;admin
Navarra;79;admin;admin
Valencia;79;admin;admin
SCN;30;admin;admin
